addr,web_add,company_info,company,pay,jobname
北京-海淀区,https://jobs.51job.com/all/co4424636.html,,雷象科技（北京）有限公司,1.5-2万/月,python高级工程师
北京,https://jobs.51job.com/all/co232254.html,"职位描述,1. 参与工厂能效大数据管理软件的需求分析、架构设计、代码开发、功能测试和现场部署等；,2. 参与工业大数据平台的需求分析、架构设计、代码开发和运维等,任职要求,1、精通Python、C、C++、C#、Java、PHP等任意一种开发语言,2、熟悉基于Linux系统的软件开发、运行环境,3、熟悉软件工程理论和团队开发流程,4、具有MySQL、SQL Server、Oracle 等数据库使用经验,5、良好的沟通能力、团队合作意识和创新精神、较强的英语技术交流能力,6、计算机科学、软件工程、自动化、电子信息等相关专业、大四在读或研三在读,具有以下经验优先考虑,7、熟悉git版本控制工具,8、熟悉BACnet、Modbus、OPC 、EtherNet/IP等任意一种工业通信协议,9、熟悉Kepware、Siemens Tia Portal、SIMATIC STEP 7、RSLogix、Cimplicity等任意一种工业软件,10、熟悉数据库集群或实时数据库,11、熟悉Hadoop、HBase、Kafka、Spark等大数据开发平台与工具",江森自控（中国）投资有限公司,0.8-1万/月,Python开发工程师(面向2018届毕业生)
北京,https://jobs.51job.com/all/co3851546.html,"工作要求：,1. 负责颉一安全监控，超融合数据平台等产品设计和实现，确保效率和智能是未来颉一产品的核心组成部分 , 2. 负责开发和单元测试，分析、部署和跟踪云架构领域的新系统 , 3. 编写软件工具清理和挖掘大型杂乱的结构化和非结构化数据 , 4. 使用大数据架构实现分布式数据接入和敏捷虚拟化,任职要求：,1.   工作积极主动，学习能力强 , 2. 计算机科学，计算机工程，数学，或同等的实践经验 , 3. 3~5年经验：C/C++/Java/Python （同时有多种经验者优先考虑）, 4. 精通网络编程，熟练使用多进程和多线程  ,5. 熟悉数据库技术，Oracle，DB2、SQLServer， Informix、Mysql、PostgreSql精通一种或多种优先, 6. 精通Linux系统结构，并熟练使用各种linux操作系统命令, 7. 具备良好的编程习惯，熟悉DevOps基本流程，熟练使用git等常用质量管理工具, 8. 具备良好的沟通能力和团队合作精神,9. 条理清晰，注重细节，务实",颉一软件科技有限公司,2.5-3万/月,Python高级开发工程师
空,空,空,甲骨文（中国）软件系统有限公司,空,空
北京-海淀区,https://jobs.51job.com/all/co2641513.html,"工作职责：,1. 负责小米电视内容聚合平台、内容管理和运营平台的设计与开发，主要编程语言是Python，主要Web框架是Django,2. 负责与产品经理、客户端端开发人员配合，完成前后端API的设计与开发；,3. 负责国际化业务的开发工作。,任职要求：,1. 计算机相关专业，大学本科学历以上；具备良好的计算机基础知识，熟悉常用的数据结构和算法；,2. 至少2年以上Python相关开发经验，至少熟练掌握Django/Flask/Tanado等框架中的一种；,3. 熟悉Linux开发环境和代码管理工具，熟练使用MySQL、Redis等数据库；,4. 熟悉HTML5/CSS3，JavaScript，熟悉常用框架；,5. 具备较强的需求分析能力，性格耐心细致、团队意识强，有很强的责任心。,优先条件：,1. 熟悉Django框架，有修改开源框架经验者；,2. 英文沟通能力强；,3. 具有CMS或后台运营支撑系统开发经验者。",北京小米数码科技有限公司,1.5-2.5万/月,Python开发工程师-小米电视
北京-海淀区,https://jobs.51job.com/all/co4519620.html,"职位描述： ,1 负责/参与金融类数据的抓取及清洗。,2 负责/参与金融类数据的分析及挖掘。 ,岗位要求：,1 熟悉Python，了解Tornado, Scrapy，Pandas等框架。,2 熟悉Linux系统，拥有Linux下开发经验。,3 熟悉MongoDB，了解NoSQL数据库。,4 熟悉Git和代码管理，遵循良好的代码风格（如Google Style或PEP8）。,5 能独立编写完整的系统开发文档、接口文档、单元测试。,6 能自主思考，拥有较强的自学能力与创新思维能力。",北京视野金融信息服务有限公司,1.5-2万/月,python工程师
北京-海淀区,https://jobs.51job.com/all/co4763088.html,"Python后端开发工程师,岗位职责：,根据产品需求，完成后台功能模块的设计，代码编写以及文档的编写和维护；,维护后端服务的稳定运行,有高度的责任心与进取心，良好的表达能力，能够顺畅的进行的技术交流与分享。,任职要求：,、统招本科以上学历，,年以上,后台开发经验。,、熟悉,开发流程，熟悉,框架以及,开发。,、从产品设计出发，完成后台的功能的拆分，开发和测试。,、负责后端代码的部署，保证后端稳定的运行。,、熟悉自动化测试和快速部署。,、对新技术感兴趣，学习能力强，有责任心以及良好的沟通能力和团队精神！,：,、顶尖高校技术背景， 优质学习资源与环境，技术与机会并存！,、扁平化管理，氛围轻松愉快，期待你的加入！",北京知源智生信息科技有限公司,1-1.5万/月,Python后端工程师
北京-朝阳区,https://jobs.51job.com/all/co4530849.html,,乐荐信息科技（北京）有限公司,1.5-2万/月,Python Web 开发工程师(职位编号：034)
北京-朝阳区,https://jobs.51job.com/all/co3743694.html,"一、岗位职责,1. 负责按照架构师选定的技术路线，用Python编程实现系统服务器端的业务流程；,2. 负责与前端开发人员合作，完成系统前、后端通信的API设计和开发实现。,二、任职资格,1. 正规大学本科以上学历。,2. 3年及以上Python开发经验，精通Python开发。,3. 精通Django框架，有实际应用项目经验。,4. 熟悉HTML5，Javascript，Json，熟悉Mysql数据库，熟练使用SQL。,5. 有websocket server开发经验者优先。,6. 有Redis开发、部署经验者优先。,7. 熟悉git操作。,8. 熟悉 Linux，熟悉基本的项目部署流程；",叠云（北京）科技股份有限公司,2.5-3万/月,Python高级开发工程师(职位编号：DY-ZBJ-2018121909)
北京-朝阳区,https://jobs.51job.com/all/co4826503.html,,北京麦达数字技术服务有限公司,2-3.5万/月,Python开发工程师
